n,distance,R_plus,R_minus,k_total,pairs,W_conn,alpha_eff
5,2,4592,2698,57344,3027,0.01651437,0.01651437
5,3,7703,2408,20229,1529,0.13087646,0.13087646
5,4,844,304,2394,245,0.11278195,0.11278195
6,2,28064,16693,286327,3886,0.01985667,0.01985667
6,3,51734,15624,129010,2459,0.13995039,0.13995039
6,4,10296,3156,27974,697,0.12761850,0.12761850
6,5,799,290,2493,77,0.10208584,0.10208584
7,2,177930,105506,1696788,4633,0.02134150,0.02134150
7,3,333796,106486,846076,3337,0.13433190,0.13433190
7,4,86873,30147,232820,1214,0.12182373,0.12182373
7,5,13298,3875,34773,227,0.13549305,0.13549305
7,6,413,94,1185,14,0.13459916,0.13459916
8,2,1332445,747643,11510980,5751,0.02540192,0.02540192
8,3,2557115,762362,6301841,4650,0.14239910,0.14239910
8,4,806762,247286,2000032,1999,0.13986676,0.13986676
8,5,162618,52428,440076,540,0.12519428,0.12519428
8,6,22765,9814,66357,95,0.09758579,0.09758579
8,7,1271,324,3841,7,0.12327519,0.12327519
